timestamp	rpm_diesel	power_generator	poz_kont_sec
1575793440	0	0	0
1575793443	0	0	0
1575793446	0	0	0
1575793449	0	0	0
1575793452	0	0	0
1575793455	0	0	0
1575793458	0	0	0
1575793461	0	0	0
1575793464	0	0	0
1575793467	0	0	0
1575793470	0	0	0
1575793473	0	0	0
1575793476	0	0	0
1575793479	0	0	0
1575793482	0	0	0
1575793485	0	0	0
1575793488	0	0	0
1575793491	0	0	0
1575793494	0	0	0
1575793497	0	0	0
1575793500	0	0	0
1575793503	0	0	0
1575793506	0	0	0
1575793509	0	0	0
1575793512	0	0	0
1575793515	0	0	0
1575793518	0	0	0
1575793521	0	0	0
1575793524	0	0	0
1575793527	0	0	0
1575793530	0	0	0
1575793533	0	0	0
1575793536	0	0	0
1575793539	0	0	0
1575793542	0	0	0
1575793545	0	0	0
1575793548	0	0	0
1575793551	0	0	0
1575793554	0	0	0
1575793557	0	0	0
1575793560	0	0	0
1575793563	0	0	0
1575793566	0	0	0
1575793569	0	0	0
1575793572	0	0	0
1575793575	0	0	0
1575793578	0	0	0
1575793581	0	0	0
1575793584	0	0	0
1575793587	0	0	0
1575793590	0	0	0
1575793593	0	0	0
1575793596	0	0	0
1575793599	0	0	0
1575793602	0	0	0
1575793605	0	0	0
1575793608	0	0	0
1575793611	0	0	0
1575793614	0	0	0
1575793617	0	0	0
1575793620	0	0	0
1575793623	0	0	0
1575793626	0	0	0
1575793629	0	0	0
1575793632	0	0	0
1575793635	0	0	0
1575793638	0	0	0
1575793641	0	0	0
1575793644	0	0	0
1575793647	0	0	0
1575793650	0	0	0
1575793653	0	0	0
1575793656	0	0	0
1575793659	0	0	0
1575793662	0	0	0
1575793665	0	0	0
1575793668	0	0	0
1575793671	0	0	0
1575793674	0	0	0
1575793677	0	0	0
1575793680	0	0	0
1575793683	0	0	0
1575793686	0	0	0
1575793689	0	0	0
1575793692	0	0	0
1575793695	0	0	0
1575793698	0	0	0
1575793701	0	0	0
1575793704	0	0	0
1575793707	0	0	0
1575793710	0	0	0
1575793713	0	0	0
1575793716	0	0	0
1575793719	0	0	0
1575793722	0	0	0
1575793725	0	0	0
1575793728	0	0	0
1575793731	0	0	0
1575793734	0	0	0
1575793737	0	0	0
1575793740	0	0	0
1575793743	0	0	0
1575793746	0	0	0
1575793749	0	0	0
1575793752	0	0	0
1575793755	0	0	0
1575793758	0	0	0
1575793761	0	0	0
1575793764	0	0	0
1575793767	0	0	0
1575793770	0	0	0
1575793773	0	0	0
1575793776	0	0	0
1575793779	0	0	0
1575793782	0	0	0
1575793785	0	0	0
1575793788	0	0	0
1575793791	0	0	0
1575793794	0	0	0
1575793797	0	0	0
1575793800	0	0	0
1575793803	0	0	0
1575793806	0	0	0
1575793809	0	0	0
1575793812	0	0	0
1575793815	0	0	0
1575793818	0	0	0
1575793821	0	0	0
1575793824	0	0	0
1575793827	0	0	0
1575793830	0	0	0
1575793833	0	0	0
1575793836	0	0	0
1575793839	0	0	0
1575793842	0	0	0
1575793845	0	0	0
1575793848	0	0	0
1575793851	0	0	0
1575793854	0	0	0
1575793857	0	0	0
1575793860	0	0	0
1575793863	0	0	0
1575793866	0	0	0
1575793869	0	0	0
1575793872	0	0	0
1575793875	0	0	0
1575793878	0	0	0
1575793881	0	0	0
1575793884	0	0	0
1575793887	0	0	0
1575793890	0	0	0
1575793893	0	0	0
1575793896	0	0	0
1575793899	0	0	0
1575793902	0	0	0
1575793905	0	0	0
1575793908	0	0	0
1575793911	0	0	0
1575793914	0	0	0
1575793917	0	0	0
1575793920	0	0	0
1575793923	0	0	0
1575793926	0	0	0
1575793929	0	0	0
1575793932	0	0	0
